,address1,address2,city,name,tel,url,zip,geometry
153,2623 Avenue U,,Brooklyn,Shulman B & M Inc,(718) 646-6022,http://brooklyn.citysearch.com/profile/601893311/brooklyn_ny/b_m_shulman_inc.html,11229.0,POINT (-73.9450654828952 40.60027352384444)
154,790 Madison Ave,,New York,Sigrid Freundorfer Fine Art,(212) 517-9700,http://oneartworld.com/Sigrid+Freundorfer+Fine+Art.html,10021.0,POINT (-73.96809592587059 40.76848322657679)
155,520 West 21st St,,New York,Silverstein Gallery Inc,(212) 929-4300,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CC5FF-3048-28EB-9213D9BD1A052B8E,10011.0,POINT (-74.00610391839206 40.7465866957298)
156,159-15 Jamaica Ave,,Jamaica,Simply Marvelous Art,(718) 291-9862,http://www.simplymarvelousart.com/,11432.0,POINT (-73.79975655329956 40.70412220555415)
157,529 W 20th St,,New York,Skoto Gallery,(212) 352-8058,http://www.skotogallery.com/homepage,10011.0,POINT (-74.00685030055344 40.74667658192823)
158,150 Midwood St,,Brooklyn,Sloan McGill Collection,(718) 469-1930,http://www.nyc.com/arts__attractions/sloan_mcgill_collection.1894/editorial_review.aspx,11225.0,POINT (-73.95565084132937 40.65961513441343)
159,92 Plymouth St,,Brooklyn,Smack Mellon Studios,(718) 422-0989,http://www.smackmellon.org/,11201.0,POINT (-73.98985972420431 40.703750736899)
160,447 W 24th St,,New York,Smith Gallery,(212) 744-6171,http://www.nyc.com/arts__attractions/smith_gallery.185/editorial_review.aspx,10011.0,POINT (-74.00265775483314 40.74814601025172)
161,217 E 66th St,,New York,Society For Renewal of Christian Art,(212) 288-8186,http://www.nyc.com/arts__attractions/society_for_renewal_of_christian_art.340/editorial_review.aspx,10021.0,POINT (-73.96219073494362 40.76564702959902)
162,511 W 25th St,,New York,Soho 20,(212) 367-8994,http://www.soho20gallery.com/New/exhibitions.html,10001.0,POINT (-74.00383257307128 40.74948117558807)
163,15 White St,,New York,Soho Photo Gallery,(212) 226-8571,http://www.sohophoto.com/,10013.0,POINT (-74.00555633265509 40.71896418629765)
164,470 Park Ave,,New York,Soldwedel Kipp,(212) 759-1175,http://www.ziphip.com/soldwedel+kipp.9.7196845p.home.html,10022.0,POINT (-73.97074200370785 40.76224192243714)
165,959 Madison Ave,,New York,Soloman & Co Fine Art Gallerie,(212) 737-8200,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489DA839-3048-28EB-923E97BA2BE7589F,10021.0,POINT (-73.96352461082171 40.77383485220909)
166,532 W 22nd St,,New York,Sonnabend Gallery Inc,(212) 627-1018,http://www.artnet.com/sonnabend.html,10011.0,POINT (-74.00640433268863 40.74753287385608)
167,1015 Madison Ave,,New York,Soufer Gallery,(212) 628-3225,http://www.soufergallery.com/,10075.0,POINT (-73.96219093364687 40.77578491128998)
168,39 Wooster St.,,New York,Spencer Brownstone Gallery,(212) 334-3455,http://www.spencerbrownstonegallery.com/000mailing.html,10013.0,POINT (-74.0028519546277 40.72259290570126)
169,121 Greene St,,New York,Sperone Westwater,(212) 253-0648,http://www.speronewestwater.com/cgi-bin/iowa/index.html,10012.0,POINT (-73.99926239580837 40.72544340968263)
170,126 Front St,,Brooklyn,Spring,(718) 222-1054,http://www.spring3d.net/,11201.0,POINT (-73.98739580880391 40.70224827687764)
171,153 West 27th Street,Room #505,New York,Sragow Ellen Ltd,(212) 219-1793,http://www.sragowgallery.com/,10001.0,POINT (-73.99302490428965 40.74652176477976)
172,24 W 57th St,,New York,St Etienne Galerie,(212) 245-6734,http://www.gseart.com/,10019.0,POINT (-73.97562840191033 40.76331815027905)
173,560 Broadway,,New York,Staley-Wise Gallery,(212) 966-6223,http://www.staleywise.com,10012.0,POINT (-73.9976700930255 40.72388325006023)
174,50 Greene St,,New York,Start,(212) 431-2414,http://www.livevillage.com/newyork/art/start.html,10013.0,POINT (-74.00158103055105 40.7219883380336)
175,113 Franklin St,,Brooklyn,State of Art,(718) 349-7250,http://www.merchantcircle.com/blogs/State.of.Art.718-349-7250,11222.0,POINT (-73.95791517359595 40.73022121777638)
176,23 E 69th St,# 4F,New York,Steigrad Lawrence Fine Arts,(212) 517-3643,http://www.steigrad.com/,10021.0,POINT (-73.96622595705455 40.76982012861514)
177,200 West 57th Street,,New York,Stein Gertrude Gallery,(212) 535-0600,http://www.gallerygertrudestein.com/contact.htm,10019.0,POINT (-73.98049753870134 40.76544488935683)
178,377 Broome St,,New York,Stephen Downes Gallery,(212) 274-9194,http://www.nyc.com/arts__attractions/stephen_downes_gallery.263/editorial_review.aspx,10013.0,POINT (-73.99647297058152 40.72012487216588)
179,200 W Houston St,Apt 3D,New York,Stewart Waltzer Co,(212) 675-4949,http://www.manta.com/coms2/dnbcompany_jr0lm4,10014.0,POINT (-74.00394089705402 40.7287135272124)
180,97 Kenmare St,,New York,Storefront For Art and Architecture,(212) 431-5795,http://www.storefrontnews.org/,10012.0,POINT (-73.99706829737519 40.72147742820455)
181,564 W 25th St,,New York,"Stricoff Fine Art, Ltd.",(212) 219-3977,http://www.stricoff.com/,10001.0,POINT (-74.00571077709991 40.74989327559004)
182,205 W 88th St,,New York,Studio Gallery,(212) 579-4654,http://www.merchantcircle.com/business/Studio.Gallery.212-579-4654,10024.0,POINT (-73.97428548023957 40.78933482906021)
183,152 E 22nd St,,New York,Studio Tamar,(212) 529-4247,http://www.upspring.com/studio-tamar-new-york-ny.html,10010.0,POINT (-73.98429765855359 40.73821552093811)
184,530 W 25th St,,New York,Stux Gallery,(212) 352-1600,http://www.stuxgallery.com,10001.0,POINT (-74.00480919659191 40.74932238784064)
185,3658 Broadway,,New York,Sugarhill Arts Center,(212) 491-5890,http://www.theartproject.net/pages/126yp_awaken.htm,10031.0,POINT (-73.94709266575242 40.83022040190009)
186,112 Mercer St,,New York,Suite 106,(212) 274-9166,http://www.art-search.us/listing/22923/suite-106-gallery,10012.0,POINT (-73.99892431070742 40.72359612141827)
187,83 Bowery,,New York,Sun Yi Jun,(212) 625-1910,http://www.nyc.com/arts__attractions/sun_yi_jun.821/editorial_review.aspx,10002.0,POINT (-73.9953458096245 40.71676281529191)
188,41 E 57th St,,New York,Susan Aberbach Fine Art,(212) 207-4600,http://www.saberbach.com/site.html,10022.0,POINT (-73.97168388843812 40.76228904795565)
189,456 W Broadway,,New York,Susan Megson Gallery,(212) 254-8090,http://web2.userinstinct.com/31111920-susan-megson-gallery.htm,10012.0,POINT (-74.00081320910148 40.72624920444544)
190,654 Madison Ave,,New York,Susan Rolfe Associates Fine Arts Ltd,(212) 688-7184,http://www.merchantcircle.com/business/Susan.Rolfe.Associates.Fine.Arts.Limited.212-688-7184,10021.0,POINT (-73.9711103443112 40.76448430163076)
191,535 West 22nd Street,3rd Floor,New York,Susan Sheehan Gallery,(212) 489-3331,http://www.susansheehangallery.com/,10011.0,POINT (-74.00605481573004 40.74791170692856)
192,620 Park Ave,,New York,Sutherland M,(212) 249-0428,http://www.artnet.com/gallery/155971/m-sutherland-fine-arts-ltd.html,10021.0,POINT (-73.96722779023571 40.76696024647109)
193,495 Broadway,3rd Fl,New York,Swiss Institute,(212) 925-2035,http://www.swissinstitute.net/,10012.0,POINT (-74.00006289362192 40.72224748487797)
194,511 West 25th Street,2nd Floor,New York,Taglialatella Dominic J,(212) 367-0881,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489CDBF0-3048-28EB-923E29A3CAFD93E0,10001.0,POINT (-74.00394584152615 40.74952510204985)
195,41 E 57th St,,New York,Takako Tsuji Gallery,(212) 231-1778,http://trustedplaces.com/review/us/ny/new-york/cultural/1415l81/takako-tsuji-gallery,10022.0,POINT (-73.97173794165505 40.7622120464893)
196,108 E 16th St,Fl 3,New York,Talwar Gallery,(212) 673-3096,http://www.talwargallery.com/,10003.0,POINT (-73.98882748825802 40.7354581457437)
197,5 E 82nd St,,New York,Tambaran Gallery,(212) 570-0655,http://www.tambaran.com/,10028.0,POINT (-73.96139898564891 40.77879668705261)
198,3 E 76th St,,New York,Tang Sarina,(212) 517-7401,http://www.merchantcircle.com/business/Tang.Sarina.212-517-7401,10021.0,POINT (-73.96443413679928 40.77499080761613)
199,521 W 21st St,,New York,Tanya Bonakdar Galery,(646) 638-9471,http://www.livevillage.com/newyork/art/tanya-bonakdar-galery.html,10011.0,POINT (-74.00619627853678 40.7471718785601)
200,413 W 14th St,Ste 3,New York,Tate,(212) 242-9888,http://www.yelp.com/biz/tate-new-york,10014.0,POINT (-74.00618826198466 40.74160876928588)
201,529 West 20th Street,6th Floor,New York,Tatistcheff Gallery Inc,(212) 664-0907,http://www.artinfo.com/galleryguide/13109/1619/tatistcheff-gallery-new-york/visit/,10011.0,POINT (-74.00694992343615 40.7465936546289)
202,527 W. 26th St.,,New York,Team Gallery,(212) 279-9219,http://www.teamgal.com/,10001.0,POINT (-74.00393729550223 40.75021954194053)
203,568 Broadway,,New York,Teller Susan Gallery,(212) 941-7335,http://www.susantellergallery.com/,10012.0,POINT (-73.99746436311553 40.72429065859904)
204,43A W. 13th St.,1st Fl.,New York,Tenri Cultural Institute,(212) 645-2800,http://www.tenri.org/,10011.0,POINT (-73.99609362076046 40.73640266876522)
205,726 Park Ave,# 730,New York,Thaw E V & Co,(212) 535-6333,http://www.artinfo.com/galleryguide/12003/489/ev-thaw--co-inc/visit/,10021.0,POINT (-73.96487147686322 40.77042622615332)
206,216 W 18th St,Ph,New York,The Affordable Art Fair Llc,(212) 255-2003,http://www.nyc.com/arts__attractions/the_affordable_art_fair_llc.1679/editorial_review.aspx,10011.0,POINT (-73.99907018734407 40.74128145248621)
207,787 7th Ave,,New York,The Axa Gallery,(212) 554-4818,http://axagallery.com/index.html,10019.0,POINT (-73.98178280268492 40.76169418454769)
208,415 W 13th St,,New York,The Bohen Foundation,(212) 414-4575,http://ny.citysquares.com/manhattan/meatpacking-district/arts-entertainment/artists-art-dealers/the-bohen-foundation,10014.0,POINT (-74.00650280703749 40.74080796161279)
209,1050 2nd Ave,,New York,The Chinese Art Gallery,(212) 759-1153,http://www.411.info/business/New-York/New-York/The-Chinese-Art-Gallery-Ltd/8957246-13714534.html,10022.0,POINT (-73.965656949278 40.75795522036082)
210,37 Broadway,,Brooklyn,The Dollhaus Art Gallery,(718) 486-0330,http://www.dollhaus.org/press/NYPress.htm,11211.0,POINT (-73.96728726366906 40.71090183570291)
211,1620 E 172nd St,,Bronx,The Gallery 172,(718) 861-3571,http://www.elfwood.com,10472.0,POINT (-73.87491939831187 40.83158039685335)
212,150 Lexington Ave,,New York,The Old Print Shop Inc,(212) 683-3950,http://www.oldprintshop.com/cgi-bin/gallery.pl?action=exhibits&exhibit_id=53,10016.0,POINT (-73.98210767882377 40.74374126173871)
213,618 E 9th St,,New York,The Phatory Llc,(212) 777-7922,http://www.thephatory.com/,10009.0,POINT (-73.97947469330362 40.7257216580395)
214,28 Howard St,,New York,The Q Department,(212) 219-3304,http://www.qdepartment.com/commercial.php,10013.0,POINT (-74.00036767715117 40.71966311359471)
215,42 Rivington St,,New York,The Scene Gallery,(212) 674-0508,http://newyork.citysearch.com/profile/11583862/new_york_ny/the_scene_gallery.html,10002.0,POINT (-73.99097517163823 40.72106206156008)
216,10 Leonard St,,New York,Thicket,(212) 343-2849,http://outside.in/tribeca-manhattan-ny/thicket,10013.0,POINT (-74.00824904575869 40.71858122441153)
217,336 W 37th St,,New York,Think Art Gallery,(212) 695-2006,http://www.nyc.com/arts__attractions/think_art_gallery.1775/editorial_review.aspx,10018.0,POINT (-73.99403188876548 40.7546672150301)
218,375 W Broadway,,New York,Thomas & Hirsch,(212) 625-2011,http://www.nyc.com/arts__attractions/thomas__hirsch.597/map_location.aspx,10012.0,POINT (-74.00228470489191 40.72343124213582)
219,526 W 26th St,,New York,Thomas Erben Gallery,(212) 645-8701,http://www.thomaserben.com/index.php,10001.0,POINT (-74.00429401112444 40.74989643756155)
220,19 E 75th St,,New York,Thomson C Art,(212) 249-0242,http://local.botw.org/New_York/New_York/Thompson_C_Art/141792657.html,10021.0,POINT (-73.96430989681751 40.77400673486746)
221,3 E 3rd St,,New York,Three East Third St Corp,(212) 533-7749,http://ny.citysquares.com/manhattan/east-village/arts-entertainment/artists-art-dealers/three-east-third-st-corp,10003.0,POINT (-73.99127036086344 40.72631716919413)
222,145 E. 57th St.,3rd Fl.,New York,Throckmorton Fine Arts,(212) 223-1059,http://www.throckmorton-nyc.com/,10022.0,POINT (-73.96844689694198 40.76094893064263)
223,47 Greene St,,New York,Tilton Jack Gallery,(212) 941-1775,http://www.artseensoho.com/Art/TILTON/tilton.html,10013.0,POINT (-74.00200057983146 40.72225087144002)
224,476 Broome St.,,New York,Time Is Always Now,(212) 343-2211,http://www.yelp.com/biz/time-is-always-now-peter-beard-carnets-africans-new-york,10013.0,POINT (-74.00165245526333 40.72303600769511)
225,41 E 57th St,,New York,Tk Oriental Antiques,(212) 980-6416,http://newyork.maplist.org/viewthread.php?tid=412663,10022.0,POINT (-73.97182904482004 40.76234556047628)
226,580 Broadway,,New York,Tobey Fine Art,(212) 431-7878,http://www.artnet.com/gallery/140739/tobey-fine-arts.html,10012.0,POINT (-73.99703668451343 40.72443534760606)
227,1050 2nd Ave,Rm 87,New York,Ton Ying & Co,(212) 751-0134,http://www.hatii.arts.gla.ac.uk/admn/php/carp/essay1.php?enum=1096638570,10022.0,POINT (-73.96571787671886 40.75808112550428)
228,1026 Avenue of the Americas,,New York,Tonal Motion Inc,(212) 719-4393,http://tonalmotion.org/main.html,10018.0,POINT (-73.98546138708296 40.75245457107822)
229,535 W 22nd St,,New York,Tonkonow Leslie,(212) 255-8450,http://www.villagevoice.com/locations/leslie-tonkonow-artworks-projects-145055/,10011.0,POINT (-74.00615109302096 40.74795821657633)
230,7 Maiden Ln,,New York,Tower Art Gallery,(212) 571-0100,http://www.nelso.com/us/place/50980/,10038.0,POINT (-74.00950849342691 40.70983827872425)
231,1050 2nd Ave,,New York,Traditional Art Gallery Inc,(212) 593-0350,http://www.getfave.com/locations/844915-traditional-art-gallery-inc,10022.0,POINT (-73.96585513475492 40.75803478666055)
232,111 E 62nd St,,New York,Triangle Editions,(212) 355-3754,http://www.getfave.com/locations/915361-triangle-editions,10021.0,POINT (-73.9677731620756 40.76471075144109)
233,285 E. Third St.,,New York,Tribes Gallery,(212) 674-8262,http://www.tribes.org/web/,10009.0,POINT (-73.97988408148974 40.72155550779509)
234,461 W 126th St,,New York,Triple Candie,(212) 865-0783,http://artcritical.com/fyfe/JFNoland.htm,10027.0,POINT (-73.9550632174421 40.81374657890127)
235,224 12th Ave,,New York,Triton Collection the,(212) 594-9590,http://www.tritonjewelry.com/home.php,10001.0,POINT (-74.00704894372035 40.75257911943997)
236,366 E 8th St,,New York,Troubetzkoy Paintings,(212) 473-4047,http://www.troubetzkoypaintings.com/,10009.0,POINT (-73.97777959495151 40.72422992194957)
237,19 East 66th Street,,New York,Tunick David,(212) 570-0090,http://www.ifpda.org/content/node/2617,10065.0,POINT (-73.96849022604967 40.76833078347223)
238,125 Cedar St,,New York,Turkana Gallery,(212) 732-0273,http://www.tribal-kilims.com/links.asp,10006.0,POINT (-74.01245254988984 40.70976778055569)
239,416 EAST 59 STREET,,New York,Ubu Gallery,(212) 753-4444,http://ubugallery.com/phpwcms/index.php?current,10022.0,POINT (-73.96124389562185 40.75904777703154)
240,656 5th Ave,,Brooklyn,Under Minerva,(718) 788-0170,http://blog.underminerva.com/,11215.0,POINT (-73.99264059463559 40.66242444886783)
241,257 Church St,,New York,Up & Co,(212) 966-7847,http://www.verystyleguide.com/upandco/,10013.0,POINT (-74.00525333608093 40.71803595851573)
242,1194 Madison Ave,,New York,Uptown Gallery the,(212) 722-3677,http://www.uptowngallerynyc.com/,10128.0,POINT (-73.95834181152964 40.78195082570154)
243,1205 Manhattan Ave,,Brooklyn,Urban Architecture Gallery of Applied Arts Inc,(718) 349-3837,http://www.urbanarchitecture.us/,11222.0,POINT (-73.95568290353586 40.73872000117206)
244,981 Madison Ave.,,New York,"Ursus Books & Prints, Ltd.",(212) 744-1600,http://www.ursusbooks.com/,10021.0,POINT (-73.96314947605681 40.77455057047168)
245,2904 23rd St,,Astoria,Valenzi Gallery & Framing,(718) 274-1419,"http://www.yellowbot.com/tags/frame/New%20York,%20NY%2011105/page1.html",11102.0,POINT (-73.92609137053243 40.76975797413223)
246,521 W 23rd St,,New York,Van De Weghe Fine Art,(212) 929-6633,http://www.re-title.com/exhibitions/archive_VANDEWEGHEFINEART3915.asp,10011.0,POINT (-74.00485831599102 40.74829505507606)
247,958 Madison Ave,,New York,Vance Jordan Fine Art,(212) 570-9500,http://www.russianyellowpages.com/business/Vance_Jordan_Fine_Art,10001.0,POINT (-73.96412402055026 40.7740762256816)
248,225 W 83rd St,,New York,Veranda Design,(212) 724-5156,http://66.111.11.24/arts__attractions/veranda_design.973/editorial_review.aspx,10024.0,POINT (-73.97719259097789 40.78627112913949)
249,603 5th Ave,,New York,Verona Arts Ltd,(212) 317-1010,http://www.merchantcircle.com/blogs/Verona.Arts.LTD.212-317-1010,10017.0,POINT (-73.97755224356966 40.75749369898942)
250,120 E 56th St,,New York,Viart Corporation,(212) 752-3500,http://www.viartcorp.com/,10022.0,POINT (-73.97064699525346 40.76043003631743)
251,210 11th Ave,Rm 808,New York,Vick Corporate Art Advisors,(212) 414-1976,http://vickartadvisors.com/,10001.0,POINT (-74.00577306506825 40.74980455013242)
252,781 5th Ave,,New York,Vieille Russie Inc Antiqs & Jwlry,(212) 752-1727,http://www.artantiquedealersleague.org/dealerdetails.asp?dealerID=5,10022.0,POINT (-73.97253001784061 40.76431012217276)
253,345 Greenwich St,,New York,Vietnam Art Design,(212) 431-8889,http://www.galleryvietnam.com/,10013.0,POINT (-74.01012569658072 40.71840386240903)
254,41 Union Sq W,Ph,New York,Viewpoint Gallery,(212) 242-5478,http://www.viewpointgallery.com/contact.php,10003.0,POINT (-73.99068944798088 40.73711798578153)
255,1 Union Sq W,Ste 307,New York,Vincent Fremont Enterprises,(212) 414-1881,http://www.manta.com/coms2/dnbcompany_6xq3v8,10003.0,POINT (-73.99187771197147 40.73550086652194)
256,530 W 25th St,,New York,Viridian Artists Inc,(212) 414-4040,http://www.viridianartists.com/new/index.cfm,10001.0,POINT (-74.00472764355059 40.7492913813902)
257,12 West 37th Street,Rm 1211,New York,Visage Studios,(212) 391-0131,http://ny.serviceslisted.com/1654518-VisageStudios.htm,10018.0,POINT (-73.98424841060464 40.75055102601993)
258,137 Wooster St,,New York,Visual Arts Gallery,(212) 598-0221,http://www.nyc.com/arts__attractions/visual_arts_gallery.235/whats_nearby.aspx,10012.0,POINT (-74.00014431394463 40.72592059889305)
259,100 W End Ave,,New York,Volpe Organization,(212) 227-7913,http://www.shopinmanhattan.com/map.asp?mid=10584753&subCat=art+galleries,10023.0,POINT (-73.98809616725292 40.77482589447644)
260,350 W 50th St,,New York,Wada Takashi Gallery,(212) 586-8979,http://www.city-data.com/businesses/884092230-takashi-wada-gallery-new-york-ny.html,10019.0,POINT (-73.98849960685845 40.76290654530983)
261,191 Columbus Ave,,New York,Wade Maxx Art Gallery,(212) 579-6529,http://www.wademaxx.com/,10023.0,POINT (-73.98013755406222 40.77520920493325)
262,124 E 57th St,,New York,Wally Findlay Galleries,(212) 421-5390,http://www.wallyfindlay.com/,10022.0,POINT (-73.96978732354177 40.76088972879902)
263,178 Prince St,,New York,Ward-Nasse Gallery,(212) 925-6951,http://www.wardnasse.org/,10012.0,POINT (-74.00206948926476 40.72612434936033)
264,20 W 57th St,Lbby,New York,Washburn Galleries,(212) 397-6780,http://www.washburngallery.com/,10019.0,POINT (-73.97548939715747 40.76329173421364)
265,115 E 9th St,,New York,Washington Sq Outdoor Art Exhibit Inc,(212) 982-6255,http://www.washingtonsquareoutdoorartexhibit.org/,10003.0,POINT (-73.98955957434988 40.73055351406694)
266,448 W 16th St,,New York,Webster David,(212) 367-8120,http://www.7mainstreet.com/business/unclaimed/webster-david-new-york-ny-10001/14671913,10011.0,POINT (-74.00604993518832 40.74255494022393)
267,36 E 57th St,,New York,Weisbrod Chinese Art Ltd,(212) 319-1335,http://www.weisbrodltd.com/wsbhome.html,10022.0,POINT (-73.97195658131889 40.76183606457246)
268,200 E 72nd St,,New York,Wellesley the,(212) 288-2666,http://www.nyc.com/arts__attractions/wellesley_the.795/whats_nearby.aspx,10021.0,POINT (-73.96043137050211 40.76937886836503)
269,242 W. 26th St.,,New York,Wessel & O'Connor,(212) 242-8811,http://www.wesseloconnor.com/,10011.0,POINT (-73.99604272085784 40.74658362420755)
270,55 Bethune St,# 318-C,New York,Westbeth Gallery,(212) 989-4650,http://www.westbeth.org/,10014.0,POINT (-74.00892207369608 40.73681609073264)
271,1374 Richmond Rd,,Staten Island,Western Art Collectors Society,(718) 351-5268,http://www.americaonwheels.com/NewYork/WESTERN_ART_COLLECTORS_SOCIETY,10304.0,POINT (-74.09740510896602 40.59524979737109)
272,568 Broadway,,New York,Westwood Gallery,(212) 925-5700,http://www.westwoodgallery.com/,10012.0,POINT (-73.99734433829671 40.72442296230567)
273,30 E 81st St,,New York,Weybridge Fine Art,(212) 628-5445,http://ny.citysquares.com/manhattan/chelsea/arts-entertainment/artists-art-dealers/weybridge-fine-art-30-e-81-madison-ave,10028.0,POINT (-73.9609780584284 40.77737493217594)
274,4450 Broadway,,New York,Whas Cultural Art Center Inc,(212) 569-2224,http://www.ziphip.com/whas+cultural+art+center+inc.9.7203168p.home.html,10040.0,POINT (-73.93249802646282 40.85624732743534)
275,525 W. 26th St.,,New York,White Box,(212) 714-2347,http://www.whiteboxny.org/,10001.0,POINT (-74.00398260805142 40.7503229067573)
276,320 W 13th St,,New York,White Columns Inc,(212) 924-4212,http://newyork.going.com/venue-3874;White_Columns_Inc,10014.0,POINT (-74.00412298674621 40.7390733900545)
277,107 University Pl,,New York,Whitfield James Fine Art,(212) 982-8050,http://www.facebook.com/pages/London-United-Kingdom/Whitfield-Fine-Art/184172920606,10003.0,POINT (-73.99223344839037 40.7341517204105)
278,210 Eleventh Avenue,Suite 303,New York,Wickiser Walter Gallery Inc,(212) 941-1817,http://www.walterwickisergallery.com/,10001.0,POINT (-74.00583422026774 40.74970893312495)
279,92 Saint Marks Pl,,New York,Willow Woodstock Artistic Enterprises,(212) 677-6547,http://www.yelp.com/biz/willow-woodstock-artistic-enterprises-new-york,10009.0,POINT (-73.98503773768752 40.7273179875329)
280,215 E 2nd St,,New York,Wilmer Jenning Gallery,(212) 505-6771,http://www.merchantcircle.com/business/Wilmer.Jenning.Gallery.212-505-6771,10009.0,POINT (-73.9829756398302 40.72158811230047)
281,530 W 25th St,# 102,New York,Winston Wachter Mayer Fine Art,(212) 255-2718,http://www.winstonwachter.com/,10001.0,POINT (-74.00469933980688 40.7494705508339)
282,167 North 9th Street,,Brooklyn,Winter Works On Paper,(718) 599-0910,http://www.winterworksonpaper.com/about.htm,11211.0,POINT (-73.95596898652045 40.71884385740481)
283,52 E 78th St,,New York,Wolf Daniel Inc,(212) 772-7721,http://www.manta.com/coms2/dnbcompany_d947yw,10021.0,POINT (-73.96208739067471 40.77515497474933)
284,133 Eldridge Street,,New York,Woodward Gallery,(212) 966-3411,http://www.woodwardgallery.net/,10002.0,POINT (-73.99181719407879 40.7190134351541)
285,779 RIVERSIDE DR,APT A60,New York,WORLD AFRICA,(212) 781-1872,http://manhattan.ny.povo.com/World_Africa,10032.0,POINT (-73.94753650623625 40.83514503903612)
286,104 Nassau St,,New York,World Art Center,(212) 791-4941,http://www.merchantcircle.com/business/World.Art.Center.212-791-4941,10038.0,POINT (-74.00717581854839 40.71059948663547)
287,535 W 22nd St,,New York,Yancey Richardson Gallery,(646) 230-9610,http://www.yanceyrichardson.com/,10011.0,POINT (-74.00606501650554 40.747990092758)
288,15 W 53rd St,,New York,Yasuda Fine Arts Inc,(212) 977-7966,http://www.localartdealers.com/New-York/Yasuda-Fine-Arts-Incorporated-25075.html,10019.0,POINT (-73.97760350331404 40.76154759316407)
289,99 Spring St,,New York,Yorks Shona Gallery,(212) 431-7444,http://yorksshonagallery.com/,10012.0,POINT (-73.99930952043819 40.72346095072394)
290,1687 3rd Ave,,New York,Yorkville Art Gallery & Framing,(212) 423-0604,http://www.merchantcircle.com/business/Yorkville.Art.Gallery.And.Framing.212-423-0604,10128.0,POINT (-73.94977563288387 40.78412566761389)
291,980 Madison Avenue,3rd Floor,New York,Yoshii Gallery,(212) 744-5550,http://www.yoshiigallery.com/,10075.0,POINT (-73.96353644734154 40.77472916422377)
292,945 5th Ave,,New York,Yung Hee Kim,(212) 734-0009,http://www.linkedin.com/pub/yunghee-kim/11/847/188,10021.0,POINT (-73.96503049783473 40.77480194940473)
293,41 W 57th St,Fl 4,New York,Zabriskie Gallery,(212) 752-1223,http://www.zabriskiegallery.com/,10019.0,POINT (-73.97608678432614 40.76417706349348)
294,529 W 20th St,,New York,Zarre Andre Gallery,(212) 255-0202,http://www.andrezarrefineart.com/index.html,10011.0,POINT (-74.00694053104591 40.74665656097067)
295,3 East 66th Street,#1B,New York,Zetterquist Galleries,(212) 751-0650,http://web.mac.com/zetterquist/Qingbai_Wares/Home.html,10065.0,POINT (-73.96909886452057 40.76855090982749)
296,122 Ludlow St,,New York,Zito Studio Gallery,(646) 602-2338,http://www.merchantcircle.com/business/Zito.Studio.Gallery.646-602-2338,10002.0,POINT (-73.98835221789699 40.71959638253985)
297,32 E. 69th St.,,New York,Zwirner & Wirth,(212) 517-8677,http://www.zwirnerandwirth.com/,10021.0,POINT (-73.96656358087144 40.7694753540807)
298,525 W 19th St,,New York,Zwirner David Gallery,(212) 727-2070,http://www.davidzwirner.com/,10011.0,POINT (-74.00696818173046 40.745894958673)
299,547 W 27th St,,New York,Priska C. Juschka Fine Art Inc,(212) 244-4320,http://www.priskajuschkafineart.com/,10001.0,POINT (-74.00436440935563 40.7512662970876)
300,123 Watts St,,New York,1 2 3 Watts Gallery,(212) 219-1482,http://www.123watts.com/,10013.0,POINT (-74.00902348594506 40.72385716638239)
301,853 Broadway,,New York,12 Below,(212) 777-6777,http://www.upspring.com/12-below-new-york-ny-map.html,10003.0,POINT (-73.99106783126521 40.73460139279656)
302,168 Mercer St,,New York,14 Sculptors Gallery,(212) 966-5790,http://www.14sculptors.com/,10012.0,POINT (-73.99752290955341 40.72525531858324)
303,1405 2nd Ave,,New York,1405 Art Gallery,(212) 717-4025,http://artframenj.com/,10021.0,POINT (-73.9579834660085 40.76974721983206)
304,410 Jefferson Ave,,Brooklyn,2 Welancora Gallery,(718) 919-0344,http://www.welancora.com/,11221.0,POINT (-73.94151974328003 40.68407789876472)
305,1875 Dekalb Ave,,Ridgewood,280 Modern,(212) 941-5825,http://attractions.uptake.com/museums/new_york/ridgewood/280_modern_17617828.html,11385.0,POINT (-73.91448247157493 40.70924362650799)
306,36 E 73rd St,,New York,3 Costantino Fioratti Helen C,(212) 517-9176,http://www.lantiquaire.us/mirrors-in-renaissance-period.html,10021.0,POINT (-73.96468514091578 40.77217101486103)
307,547 W 21st Street,,New York,303 Gallery,(212) 255-1121,http://www.303gallery.com/,10011.0,POINT (-74.00709988223846 40.74748972764634)
308,401 7th Ave,,New York,33rd St Galleria,(212) 273-9673,http://www.superpages.com/bp/New-York-NY/33rd-Street-Galleria-L2016404930.htm,10001.0,POINT (-73.99086172847174 40.74998473697619)
309,131 W 33rd St,Lbby,New York,33rd Street Galleria,(212) 760-1228,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489C0F17-3048-28EB-92D57971418D832F,10001.0,POINT (-73.9896764403985 40.74995772882257)
